"Symbol","Name","Price","Change","Market Cap","Circulating Supply"
"TWT-USD","Trust Wallet Token USD","1.1866","0.0990","494401000.000","416650000.00"
"WEMIX-USD","WEMIX USD","1.5468","0.0775","492529000.000","318422000.000"
"ETHW-USD","EthereumPoW USD","4.3837","0.2543","469587000.000","107122000.000"
"GRT6719-USD","The Graph USD","0.067596","0.002717","466414000.000","6900000000.0"
"FTT-USD","FTX Token USD","3.4739","0.7194","462116000.000","133026000.000"
"MINA-USD","Mina USD","0.600630","0.028783","442918000.000","737423000.000"
"NEXO-USD","Nexo USD","0.786043","0.010460","440184000.000","560000000"
"XAUT-USD","Tether Gold USD","1739.46","30.63","428818000.000","246524"
"GT-USD","GateToken USD","3.9105","0.0674","423369000.000","108265000.000"
"FEI-USD","Fei USD USD","0.991923","-0.004567","421564000.000","424996000.000"
"BNX-USD","BinaryX USD","151.00","8.24","420430000.00","2784000.000"
"DASH-USD","Dash USD","36.95","2.83","406384000.000","10999000.000"
"BAT-USD","Basic Attention Token USD","0.266553","0.017312","398679000.000","1496000000.000"
"RUNE-USD","THORChain USD","1.1996","0.0866","396683000.000","330688000.000"
"HNT-USD","Helium USD","2.9909","0.1852","389894000.000","130360000.00"
"LDO-USD","Lido DAO USD","1.2001","0.1541","375571000.000","312951000.000"
"CSPR-USD","Casper USD","0.035778","0.002030","375562000.000","10497000000.000"
"ENJ-USD","Enjin Coin USD","0.362150","0.013007","362150000.00","1000000000"
"CRV-USD","Curve DAO Token USD","0.678736","0.049069","360805000.000","531583000.000"
"LRC-USD","Loopring USD","0.270338","0.001130","359585000.000","1330000000.00"
"OSMO-USD","Osmosis USD","1.2581","0.0633","355360000.00","282464000.000"
"1INCH-USD","1inch Network USD","0.559432","0.021221","347814000.000","621727000.000"
"AR-USD","Arweave USD","10.34","0.80","345276000.000","33395000.000"
"XDC-USD","XDC Network USD","0.027414","0.000400","337326000.000","12305000000.000"
"CCXX-USD","Counos X USD","18.63","-130.10","333833000.000","17919000.000"
"STX4847-USD","Stacks USD","0.239760","0.012185","322093000.000","1343000000.000"
"ZIL-USD","Zilliqa USD","0.023768","0.000884","321344000.000","13520000000.00"
"IMX10603-USD","ImmutableX USD","0.471797","-0.014576","320559000.000","679444000.000"
"KAVA-USD","Kava USD","0.994023","0.093909","317236000.000","319143000.000"
"DCR-USD","Decred USD","21.43","1.20","310667000.000","14496000.000"
"XEM-USD","NEM USD","0.034485","0.002603","310367000.000","9000000000"
"MV-USD","GensoKishi Metaverse USD","0.181290","0.012304","309881000.000","1709000000.000"
"HOT2682-USD","Holo USD","0.001714","0.000108","297108000.000","173343000000.000"
"CVX-USD","Convex Finance USD","4.1574","0.2103","292213000.000","70288000.000"
"COMP5692-USD","Compound USD","39.77","2.26","288982000.000","7267000.000"
"RVN-USD","Ravencoin USD","0.023980","0.001352","284664000.000","11871000000.000"
"NXM-USD","NXM USD","42.05","2.52","277253000.000","6594000.000"
"GMX11857-USD","GMX USD","34.49","4.63","275604000.000","7991000.000"
"WAVES-USD","Waves USD","2.4755","0.1417","271869000.000","109826000.000"
"BTG-USD","Bitcoin Gold USD","15.46","0.85","270765000.000","17514000.000"
"FRTS-USD","Fruits USD","0.012814","0.000224","269946000.000","21067000000.000"
"CHSB-USD","SwissBorg USD","0.263690","0.011585","263690000.00","1000000000"
"ENS-USD","Ethereum Name Service USD","12.97","1.46","262592000.000","20245000.000"
"DFI-USD","DeFiChain USD","0.512917","0.023905","261967000.000","510738000.000"
"TFUEL-USD","Theta Fuel USD","0.048957","0.003545","259532000.000","5301000000.000"
"ROSE-USD","Oasis Network USD","0.051246","0.002493","257633000.000","5027000000.000"
"USTC-USD","TerraClassicUSD USD","0.026028","0.000796","255277000.000","9808000000.000"
"IOTX-USD","IoTeX USD","0.026327","0.001154","251180000.00","9541000000.000"
"GMT18069-USD","STEPN USD","0.411281","0.030331","246769000.000","600000000"
"GNO-USD","Gnosis USD","94.92","5.72","244860000.00","2580000.00"
"BAL-USD","Balancer USD","5.3971","0.3501","244272000.000","45260000.00"
"OP-USD","Optimism USD","1.0274","0.1390","241171000.000","234748000.000"
"CELO-USD","Celo USD","0.507021","0.040698","240012000.000","473376000.000"
"QTUM-USD","Qtum USD","2.2962","0.1275","239737000.000","104407000.000"
"YFI-USD","yearn.finance USD","6501.74","371.25","238209000.000","36637"
"LUNA20314-USD","Terra USD","1.8454","0.1111","235238000.000","127475000.000"
"KSM-USD","Kusama USD","27.39","0.33","231981000.000","8470000.00"
"GALA-USD","Gala USD","0.032291","0.003280","225304000.000","6977000000.000"
"ANKR-USD","Ankr USD","0.022718","0.001472","219526000.000","9663000000.000"
"JST-USD","JUST USD","0.023723","0.000965","211183000.000","8902000000.000"
"GLM-USD","Golem USD","0.210213","0.015611","210213000.000","1000000000"
"KDA-USD","Kadena USD","1.0432","0.0281","206595000.000","198047000.000"
"VIDT-USD","VIDT DAO USD","0.262598","-0.029783","202203000.000","770011000.000"
"ONE3945-USD","Harmony USD","0.015652","0.000891","200069000.000","12783000000.000"
"XYM-USD","Symbol USD","0.035297","0.001226","197046000.000","5582000000.000"
"LPT-USD","Livepeer USD","7.8044","0.1583","195195000.000","25011000.000"
"ELON-USD","Dogelon Mars USD","0.00000035","0.00000007","194107000.000","551436000000000.000"
"LN-USD","LINK USD","30.63","3.07","191813000.000","6263000.000"
"RSR-USD","Reserve Rights USD","0.004492","0.000206","190003000.000","42302000000.000"
"LUSD-USD","Liquity USD USD","1.0349","-0.0215","185929000.000","179651000.000"
"POLY-USD","Polymath USD","0.200040","0.011321","185036000.000","924998000.000"
"ABBC-USD","ABBC Coin USD","0.174334","0.002731","182459000.000","1047000000.000"
"OMG-USD","OMG Network USD","1.2966","0.0907","181838000.000","140245000.000"
"XCH-USD","Chia USD","31.92","1.28","179277000.000","5617000.000"
"GLMR-USD","Moonbeam USD","0.403479","0.020309","173947000.000","431117000.000"
"IOST-USD","IOST USD","0.009117","0.000449","169466000.000","18589000000.000"
"AMP-USD","Amp USD","0.003955","0.000120","167011000.000","42228000000.000"
"HIVE-USD","Hive USD","0.353132","0.032186","165492000.000","468641000.000"
"BORA-USD","BORA USD","0.175303","0.022078","162594000.000","927500000.0"
"RPL-USD","Rocket Pool USD","15.77","0.93","162112000.000","10280000.00"
"ZRX-USD","0x USD","0.191149","0.012748","161998000.000","847496000.000"
"BRISE-USD","Bitgert USD","0.00000041","0.00000002","160763000.000","395688000000000.000"
"ONT-USD","Ontology USD","0.183461","0.010662","160574000.000","875250000.00"
"WOO-USD","WOO Network USD","0.134461","0.008336","160443000.000","1193000000.000"
"SUSHI-USD","SushiSwap USD","1.2603","0.1181","160365000.000","127244000.000"
"PEOPLE-USD","ConstitutionDAO USD","0.031444","0.011655","159112000.000","5060000000.00"
"CEL-USD","Celsius USD","0.651641","-0.020456","155653000.000","238864000.000"
"RNDR-USD","Render Token USD","0.611622","0.108879","155229000.000","253799000.000"
"ICX-USD","ICON USD","0.167553","0.010205","154062000.000","919483000.000"
"AUDIO-USD","Audius USD","0.164623","0.008880","152030000.00","923501000.000"
"T-USD","Threshold USD","0.018394","0.001623","151667000.000","8245000000.000"
"NFT9816-USD","APENFT USD","0.00000054","0.00000001","149746000.000","277081000000000.000"
"VVS-USD","VVS Finance USD","0.00000500","0.00000019","149140000.00","29806000000000.000"
"ASTR-USD","Astar USD","0.040071","0.001242","148342000.000","3702000000.000"
"BABYDOGE-USD","Baby Doge Coin USD","0.00000000","0.00000000","146385000.000","115113336000000000.000"
"WAXP-USD","WAX USD","0.062627","0.007110","142104000.000","2269000000.000"
"ZEN-USD","Horizen USD","10.55","0.62","137416000.000","13027000.000"
"SC-USD","Siacoin USD","0.002609","0.000090","137026000.000","52514000000.000"
"STORJ-USD","Storj USD","0.331065","0.025891","136709000.000","412937000.000"
"BTRST-USD","Braintrust USD","1.0779","-0.0776","134232000.000","124529000.000"
"FLUX-USD","Flux USD","0.470617","0.028211","132347000.000","281219000.000"
"TEL-USD","Telcoin USD","0.002045","0.000328","131306000.000","64194000000.000"
"INJ-USD","Injective USD","1.7734","0.1091","129467000.000","73006000.000"
"DYDX-USD","dYdX USD","1.9260","0.4513","126285000.000","65569000.000"
"EURS-USD","STASIS EURO USD","1.0161","0.0262","126123000.000","124126000.000"
"UMA-USD","UMA USD","1.7939","0.1176","123687000.000","68947000.000"
"RBN-USD","Ribbon Finance USD","0.211194","-0.002095","120911000.000","572512000.000"
"SXP-USD","SXP USD","0.239365","0.015768","120570000.00","503709000.000"
"SCRT-USD","Secret USD","0.719440","-0.015230","117481000.000","163296000.000"
"DGB-USD","DigiByte USD","0.007392","0.000331","116713000.000","15789000000.000"
"HFT22461-USD","Hashflow USD","0.661123","0.050979","115848000.000","175229000.000"
"SLP-USD","Smooth Love Potion USD","0.002706","0.000097","115468000.000","42677000000.000"
"MXC-USD","MXC USD","0.043226","0.004151","114208000.000","2642000000.000"
"SKL-USD","SKALE USD","0.028393","0.001749","113961000.000","4014000000.000"
"SRM-USD","Serum USD","0.418074","0.059447","110056000.000","263245000.000"
"VERI-USD","Veritaseum USD","51.03","1.73","109698000.000","2150000.00"
"EWT-USD","Energy Web Token USD","3.5928","0.1358","108008000.000","30062000.000"
"KNC-USD","Kyber Network Crystal v2 USD","0.630784","0.046371","104012000.000","164894000.000"
"VUSDC-USD","Venus USDC USD","0.021723","-0.000001","103640000.00","4771000000.000"
"LSK-USD","Lisk USD","0.791617","0.059019","102040000.00","128900000.0"
"PLA7461-USD","PlayDapp USD","0.208756","0.017832","101921000.000","488230000.00"
"ERG-USD","Ergo USD","1.7304","0.0341","101467000.000","58638000.000"
"SAFE3918-USD","Safe USD","4.8468","-0.0646","100985000.000","20835000.000"
"TRIBE-USD","Tribe USD","0.220525","0.000454","99997000.000","453449000.000"
"PUNDIX-USD","Pundi X (New) USD","0.386390","0.040376","99879000.000","258492000.000"
"USDX6651-USD","USDX [Kava] USD","0.885108","-0.001899","98749000.000","111567000.000"
"DAO-USD","DAO Maker USD","1.0763","-0.0478","99103000.000","92074000.000"
"MED-USD","MediBloc USD","0.015881","0.001547","98821000.000","6223000000.000"
"SOLO-USD","Sologenic USD","0.246592","0.023555","98624000.000","399948000.000"
"MASK8536-USD","Mask Network USD","3.3325","0.2652","97079000.000","29131000.000"
"CVC-USD","Civic USD","0.095526","0.007261","95526000.000","1000000000"
"COTI-USD","COTI USD","0.085934","0.004162","95270000.00","1109000000.000"
"MX-USD","MX TOKEN USD","0.946450","0.172782","94645000.000","100000000"
"ZEON-USD","ZEON USD","0.003095","-0.000268","94489000.000","30529000000.000"
"LYXE-USD","LUKSO USD","6.1487","0.6230","94111000.000","15306000.000"
"WIN-USD","WINkLink USD","0.000098","0.000004","94072000.000","961737000000.000"
"CKB-USD","Nervos Network USD","0.002820","0.000070","94008000.000","33340000000.00"
"METIS-USD","MetisDAO USD","20.98","1.14","92190000.00","4393000.000"
"XPRT-USD","Persistence USD","0.692165","0.047743","91391000.000","132036000.000"
"API3-USD","API3 USD","1.6032","0.0918","90656000.000","56548000.000"
"REN-USD","Ren USD","0.090647","0.003838","90559000.000","999038000.000"
"CEEK-USD","CEEK VR USD","0.110919","0.005775","89370000.00","805718000.000"
"BFC7817-USD","Bifrost USD","0.082100","0.012952","87881000.000","1070000000.00"
"DEXE-USD","DeXe USD","2.3828","0.2038","86894000.000","36467000.000"
"OCEAN-USD","Ocean Protocol USD","0.141759","-0.000233","86912000.000","613099000.000"
"XNO-USD","Nano USD","0.649469","0.032569","86541000.000","133248000.000"
"REQ-USD","Request USD","0.086263","0.003815","86249000.000","999830000.00"
"CTC-USD","Creditcoin USD","0.416027","0.041326","86223000.000","207254000.000"
"CELR-USD","Celer Network USD","0.012169","0.000550","86224000.000","7085000000.000"
"MBX18895-USD","MARBLEX USD","2.3756","0.1080","85741000.000","36092000.000"
"AVINOC-USD","AVINOC USD","0.219359","0.000747","85384000.000","389244000.000"
"DESO-USD","Decentralized Social USD","9.5706","0.0119","85031000.000","8885000.000"
"SYN12147-USD","Synapse USD","0.608072","0.026039","84992000.000","139773000.000"
"BAND-USD","Band Protocol USD","2.3951","0.4926","84288000.000","35192000.000"
"ANT-USD","Aragon USD","2.0087","0.3812","84283000.000","41958000.000"
"FXS-USD","Frax Share USD","5.1852","0.0081","84050000.00","16209000.000"
"SSV-USD","ssv.network USD","8.2716","0.7859","82716000.000","10000000"
"EUROC-USD","Euro Coin USD","1.0205","0.0227","82210000.00","80559000.000"
"ONG3217-USD","Ontology Gas USD","0.253525","0.021231","82235000.000","324367000.000"
"SYS-USD","Syscoin USD","0.122075","0.001853","81843000.000","670432000.000"
"SNT-USD","Status USD","0.023354","0.002260","81051000.000","3470000000.00"
"MVL-USD","MVL USD","0.003608","0.000125","79758000.000","22103000000.000"
"PYR-USD","Vulcan Forged PYR USD","3.3329","-0.0129","79649000.000","23898000.000"
"FX-USD","Function X USD","0.192411","0.012855","78604000.000","408520000.00"
"EVER-USD","Everscale USD","0.045665","0.000181","78137000.000","1711000000.000"
"ARDR-USD","Ardor USD","0.078144","0.004941","78066000.000","998999000.000"
"ILV-USD","Illuvium USD","48.49","2.74","77752000.000","1603000.000"
"BNT-USD","Bancor USD","0.388693","0.012113","77295000.000","198858000.000"
"WEVER-USD","Wrapped Everscale USD","0.045091","0.000178","77155000.000","1711000000.000"
"CFG-USD","Centrifuge USD","0.221985","-0.002557","76943000.000","346614000.000"
"SPELL-USD","Spell Token USD","0.000721","0.000048","76581000.000","106195000000.000"
"ARRR-USD","Pirate Chain USD","0.391011","0.012906","76070000.00","194546000.000"
"BTCST-USD","Bitcoin Standard Hashrate Token USD","6.2555","0.1585","76326000.000","12201000.000"
"FUN-USD","FUNToken USD","0.006947","0.000195","76160000.00","10963000000.000"
"KEEP-USD","Keep Network USD","0.088341","0.005982","76041000.000","860762000.000"
"RKN-USD","Rakon USD","0.312843","-0.033530","75976000.000","242857000.000"
"CTSI-USD","Cartesi USD","0.116992","0.013695","75635000.000","646502000.000"
"REEF-USD","Reef USD","0.003685","0.000208","75558000.000","20505000000.000"
"NU-USD","NuCypher USD","0.106520","0.007905","74884000.000","703000000"
"RLC-USD","iExec RLC USD","0.919930","0.054746","74514000.000","81000000"
"RACA-USD","RadioCaca USD","0.000227","0.000008","74756000.000","329574000000.000"
"PROM-USD","Prom USD","4.5053","0.1639","74112000.000","16450000.00"
"ORBS-USD","Orbs USD","0.025745","0.001474","74063000.000","2877000000.000"
"LOOKS-USD","LooksRare USD","0.157324","0.020280","73870000.00","469539000.000"
"HUM-USD","Humanscape USD","0.083169","0.006564","72474000.000","871410000.00"
"YFII-USD","DFI.Money USD","1870.07","134.75","72177000.000","38596"
"MDX8335-USD","Mdex USD","0.077546","-0.000584","72072000.000","929412000.000"
"DENT-USD","Dent USD","0.000725","0.000043","71796000.000","99008000000.000"
"POWR-USD","Powerledger USD","0.147814","0.011714","71740000.00","485339000.000"
"VGX-USD","Voyager Token USD","0.257388","0.024501","71678000.000","278482000.000"
"ANY-USD","Anyswap USD","3.8332","0.2773","71449000.000","18639000.000"
"NMR-USD","Numeraire USD","11.93","0.49","70230000.00","5889000.000"
"CBG-USD","Chainbing USD","2.1227","0.6281","70050000.00","33000000"
"UOS-USD","Ultra USD","0.229528","-0.000305","69729000.000","303794000.000"
"CTK4807-USD","Shentu USD","0.792727","0.024933","69075000.000","87136000.000"
"CFX-USD","Conflux USD","0.032727","0.005656","68424000.000","2091000000.000"
"STEEM-USD","Steem USD","0.172699","0.011420","68208000.000","394952000.000"
"CHR-USD","Chromia USD","0.118427","0.004874","67192000.000","567369000.000"
"PHA-USD","Phala Network USD","0.163530","-0.006849","66925000.000","409250000.00"
"BICO-USD","Biconomy USD","0.301421","0.006171","66600000.0","220954000.000"
"STRAX-USD","Stratis USD","0.465377","0.008440","66509000.000","142915000.000"
"H2O19091-USD","H2O DAO USD","0.296355","0.005269","66451000.000","224229000.000"
"ACA-USD","Acala Token USD","0.125402","0.002661","66373000.000","529283000.000"
"MNW-USD","Morpheus.Network USD","1.4003","0.0098","66068000.000","47180000.00"
"VLX-USD","Velas USD","0.027531","0.000171","65378000.000","2375000000.000"
"XYO-USD","XYO USD","0.005081","0.000087","65260000.00","12845000000.000"
"DAG-USD","Constellation USD","0.051002","-0.000732","64615000.000","1267000000.000"
"WRX-USD","WazirX USD","0.168193","0.008866","64225000.000","381857000.000"
"QUACK-USD","RichQUACK.com USD","0.00000000","0.00000000","64152000.000","44085962000000000.000"
"WVLX-USD","Wrapped Velas USD","0.027783","-0.000064","63322000.000","2279000000.000"
"TRAC-USD","OriginTrail USD","0.172226","0.003027","62946000.000","365482000.000"
"UQC-USD","Uquid Coin USD","6.2601","0.5629","62601000.000","10000000"
"RENBTC-USD","renBTC USD","17323.84","738.38","62014000.000","3579"
"DERO-USD","Dero USD","4.6853","0.2004","60994000.000","13018000.000"
"NKN-USD","NKN USD","0.086407","0.006500","60485000.000","700000000"
"OXT-USD","Orchid USD","0.086867","0.002828","59998000.000","690690000.00"
"LOOM-USD","Loom Network USD","0.045973","0.003932","59766000.000","1300000000.0"
"ELF-USD","aelf USD","0.113970","-0.000035","59475000.000","521846000.000"
"REP-USD","Augur USD","5.3896","0.4845","59286000.000","11000000"
"SURE-USD","inSure DeFi USD","0.002205","0.000172","59060000.00","26790000000.00"
"ORC-USD","Orbit Chain USD","0.094635","0.006708","58959000.000","623015000.000"
"XSGD-USD","XSGD USD","0.729142","0.030597","59433000.000","81510000.00"
"VBUSD-USD","Venus BUSD USD","0.021736","-0.000019","58574000.000","2695000000.000"
"KAS-USD","Kaspa USD","0.004417","0.000435","57911000.000","13110000000.00"
"REV2135-USD","Revain USD","0.000674","0.000051","57317000.000","85061000000.000"
"OGN-USD","Origin Protocol USD","0.112796","0.009339","57237000.000","507433000.000"
"BSW-USD","Biswap USD","0.208167","0.008775","56950000.00","273579000.000"
"RAD-USD","Radicle USD","1.6445","0.0628","56910000.00","34607000.000"
"RBTC-USD","RSK Smart Bitcoin USD","17363.19","667.58","56758000.000","3268"
"CORE-USD","cVault.finance USD","5665.98","-177.78","56660000.00","10000"
"LAZIO-USD","S.S. Lazio Fan Token USD","6.5227","0.7670","56095000.000","8600000.0"
"RSS3-USD","RSS3 USD","0.164823","0.022923","56076000.000","340222000.000"
"STG18934-USD","Stargate Finance USD","0.405601","0.040039","55982000.000","138022000.000"
"GAL11877-USD","Galxe USD","1.5838","0.1167","55690000.00","35161000.000"
"VAI-USD","Vai USD","0.965746","-0.018555","55529000.000","57499000.000"
"TRR-USD","Terran Coin USD","2.3485","0.3672","55550000.00","23653000.000"
"EFI-USD","Efinity Token USD","0.097436","0.006108","54901000.000","563462000.000"
"SFUND-USD","Seedify.fund USD","1.3421","0.0369","54549000.000","40643000.000"
"SUSD-USD","sUSD USD","1.0021","0.0010","54035000.000","53920000.00"
"JOE-USD","JOE USD","0.164600","0.009041","53613000.000","325718000.000"
"MAID-USD","MaidSafeCoin USD","0.118055","0.005703","53426000.000","452552000.000"
"ACH-USD","Alchemy Pay USD","0.010479","0.000208","53254000.000","5082000000.000"
"QKC-USD","QuarkChain USD","0.008306","0.000576","53160000.00","6400000000.0"
"VTHO-USD","VeThor Token USD","0.001165","0.000024","53148000.000","45630000000.00"
"VOLT19650-USD","Volt Inu V2 USD","0.00000096","0.00000011","52503000.000","54766000000000.000"
"POLYX-USD","Polymesh USD","0.129044","0.006827","52038000.000","403260000.00"
"NEST-USD","NEST Protocol USD","0.017736","0.000136","51642000.000","2912000000.000"
"XVS-USD","Venus USD","4.2342","0.0810","51532000.000","12171000.000"
"MOVR-USD","Moonriver USD","8.9575","0.1705","51377000.000","5736000.000"
"STPT-USD","STP USD","0.031066","0.003428","51217000.000","1649000000.000"
"MAGIC14783-USD","MAGIC USD","0.285773","0.005681","50634000.000","177182000.000"
"ONUS-USD","ONUS USD","0.518481","0.052359","50348000.000","97106000.000"
"STMX-USD","StormX USD","0.005019","0.000342","50190000.00","10000000000"
"FET-USD","Fetch.ai USD","0.066866","0.001711","49889000.000","746114000.000"
"SUN-USD","Sun (New) USD","0.005623","-0.000124","49900000.0","8874000000.000"
"UTK-USD","Utrust USD","0.101085","0.002066","49532000.000","490000000"
"TLOS-USD","Telos USD","0.182999","0.009226","49432000.000","270123000.000"
"OUSD-USD","Origin Dollar USD","1.0008","0.0042","49210000.00","49171000.000"
"LQTY-USD","Liquity USD","0.593648","0.003954","49184000.000","82850000.00"
"AGIX-USD","SingularityNET USD","0.043726","0.001286","49023000.000","1121000000.000"
"CUSD-USD","Celo Dollar USD","0.986560","-0.006508","49012000.000","49679000.000"
"WXT-USD","Wirex Token USD","0.004898","-0.000006","48982000.000","10000000000"
"ADS-USD","Adshares USD","1.4675","-0.0193","48557000.000","33089000.000"
"MOB-USD","MobileCoin USD","0.648528","0.056467","48133000.000","74218000.000"
"COL-USD","Clash of Lilliput USD","0.583818","0.001187","47785000.000","81849000.000"
"GHST-USD","Aavegotchi USD","1.0568","-0.0006","47656000.000","45096000.000"
"XCAD-USD","XCAD Network USD","1.4131","0.0487","47480000.00","33599000.000"
"MTL-USD","Metal DAO USD","0.712964","0.062362","47475000.000","66589000.000"
"C98-USD","Coin98 USD","0.217572","0.014980","47201000.000","216944000.000"
"AURORA14803-USD","Aurora USD","0.481609","-0.007333","47147000.000","97895000.000"
"LOCUS-USD","Locus Chain USD","0.053234","0.007017","46836000.000","879808000.000"
