"Symbol","Name","Price","Change","Market Cap","Circulating Supply"
"GRT6719-USD","The Graph USD","0.089893","0.008700","620263000.000","6900000000.0"
"NEO-USD","Neo USD","8.4515","0.1349","596159000.000","70539000.000"
"MINA-USD","Mina USD","0.698808","0.025731","507711000.000","726539000.000"
"NEXO-USD","Nexo USD","0.963224","-0.003835","539406000.000","560000000"
"PAXG-USD","PAX Gold USD","1626.73","-5.64","529028000.000","325209"
"HNT-USD","Helium USD","4.0757","0.2978","528527000.000","129678000.000"
"LDO-USD","Lido DAO USD","1.6038","0.1341","501902000.000","312951000.000"
"RUNE-USD","THORChain USD","1.5174","0.0415","501780000.00","330688000.000"
"GT-USD","GateToken USD","4.6290","0.0091","501164000.000","108265000.000"
"AR-USD","Arweave USD","14.78","4.81","493674000.000","33395000.000"
"BAT-USD","Basic Attention Token USD","0.330119","0.024780","493752000.000","1496000000.000"
"TWT-USD","Trust Wallet Token USD","1.1742","0.0012","489221000.000","416650000.00"
"CRV-USD","Curve DAO Token USD","0.916483","0.044513","487187000.000","531583000.000"
"DASH-USD","Dash USD","42.29","1.56","464692000.000","10989000.000"
"WEMIX-USD","WEMIX USD","1.4324","0.0196","456109000.000","318422000.000"
"KAVA-USD","Kava USD","1.4269","0.0423","442923000.000","310414000.000"
"ENJ-USD","Enjin Coin USD","0.439336","0.010784","439336000.000","1000000000"
"OSMO-USD","Osmosis USD","1.5309","0.0486","432415000.000","282464000.000"
"STX4847-USD","Stacks USD","0.317739","0.012640","426530000.00","1342000000.000"
"FEI-USD","Fei USD USD","0.987440","-0.004957","419658000.000","424996000.000"
"CSPR-USD","Casper USD","0.03977","0.00163","416830000.00","10481000000.000"
"ZIL-USD","Zilliqa USD","0.030705","0.000888","414210000.00","13490000000.00"
"BNX-USD","BinaryX USD","148.34","2.99","412667000.000","2782000.000"
"XAUT-USD","Tether Gold USD","1634.84","-2.58","403028000.000","246524"
"DCR-USD","Decred USD","27.15","0.32","393104000.000","14478000.000"
"1INCH-USD","1inch Network USD","0.612303","0.020745","380512000.000","621445000.000"
"LRC-USD","Loopring USD","0.283185","0.026010","376674000.000","1330000000.00"
"WAVES-USD","Waves USD","3.3876","0.1636","371823000.000","109760000.00"
"XDC-USD","XDC Network USD","0.029801","-0.000215","366697000.000","12305000000.000"
"RVN-USD","Ravencoin USD","0.030682","0.000870","363391000.000","11844000000.000"
"CVX-USD","Convex Finance USD","5.1646","0.0821","361876000.000","70069000.000"
"HOT2682-USD","Holo USD","0.002062","0.000065","357370000.00","173343000000.000"
"USTC-USD","TerraClassicUSD USD","0.036036","0.000646","353439000.000","9808000000.000"
"XEM-USD","NEM USD","0.039110","0.001213","351991000.000","9000000000"
"COMP5692-USD","Compound USD","48.38","1.62","351599000.000","7267000.000"
"MV-USD","GensoKishi Metaverse USD","0.204830","-0.001689","350118000.000","1709000000.000"
"CELO-USD","Celo USD","0.729104","0.025229","345141000.000","473376000.000"
"ENS-USD","Ethereum Name Service USD","16.92","0.73","342610000.00","20245000.000"
"NXM-USD","NXM USD","50.89","0.34","335564000.000","6594000.000"
"CCXX-USD","Counos X USD","17.94","0.01","321474000.000","17919000.000"
"DFI-USD","DeFiChain USD","0.644312","0.000740","329074000.000","510738000.000"
"TFUEL-USD","Theta Fuel USD","0.061219","0.001598","324535000.000","5301000000.000"
"GMX11857-USD","GMX USD","40.60","-0.24","324451000.000","7991000.000"
"ROSE-USD","Oasis Network USD","0.062994","0.004996","316696000.000","5027000000.000"
"BTG-USD","Bitcoin Gold USD","17.52","0.26","306801000.000","17514000.000"
"GMT18069-USD","STEPN USD","0.510850","0.017271","306510000.00","600000000"
"LUNA20314-USD","Terra USD","2.3947","0.0682","305261000.000","127475000.000"
"GNO-USD","Gnosis USD","116.64","0.76","300882000.000","2580000.00"
"QTUM-USD","Qtum USD","2.8610","0.0862","298684000.000","104397000.000"
"BAL-USD","Balancer USD","6.6345","-0.1585","298493000.000","44991000.000"
"IOTX-USD","IoTeX USD","0.031112","0.003123","296836000.000","9541000000.000"
"YFI-USD","yearn.finance USD","8057.20","180.48","295198000.000","36637"
"ANKR-USD","Ankr USD","0.030223","0.001617","292042000.000","9663000000.000"
"KSM-USD","Kusama USD","34.07","1.43","288599000.000","8470000.00"
"ABBC-USD","ABBC Coin USD","0.275888","0.003838","286558000.000","1039000000.000"
"GALA-USD","Gala USD","0.039848","0.000884","278027000.000","6977000000.000"
"RSR-USD","Reserve Rights USD","0.006516","0.000425","275661000.000","42302000000.000"
"GLM-USD","Golem USD","0.275202","0.010789","275202000.000","1000000000"
"OP-USD","Optimism USD","1.1182","0.1151","262501000.000","234748000.000"
"KDA-USD","Kadena USD","1.3174","0.0275","260902000.000","198047000.000"
"ONE3945-USD","Harmony USD","0.020383","0.001775","260360000.00","12773000000.000"
"LPT-USD","Livepeer USD","10.41","1.25","259954000.000","24971000.000"
"ELON-USD","Dogelon Mars USD","0.00000046","-0.00000002","253250000.00","552497000000000.000"
"JST-USD","JUST USD","0.028020","0.000423","249436000.000","8902000000.000"
"FRTS-USD","Fruits USD","0.011648","-0.000221","245396000.000","21067000000.000"
"POLY-USD","Polymath USD","0.264815","0.002891","244953000.000","924998000.000"
"CHSB-USD","SwissBorg USD","0.238211","-0.002122","238211000.000","1000000000"
"OMG-USD","OMG Network USD","1.6709","0.0840","234341000.000","140245000.000"
"SUSHI-USD","SushiSwap USD","1.8017","0.2160","229253000.000","127244000.000"
"CEL-USD","Celsius USD","0.955913","0.032556","228333000.000","238864000.000"
"ZRX-USD","0x USD","0.266102","0.015638","225520000.00","847496000.000"
"LN-USD","LINK USD","35.27","0.55","220882000.000","6263000.000"
"T-USD","Threshold USD","0.026543","0.000812","218861000.000","8245000000.000"
"WOO-USD","WOO Network USD","0.182315","0.012114","216893000.000","1190000000.00"
"RPL-USD","Rocket Pool USD","21.09","-0.55","216827000.000","10280000.00"
"HIVE-USD","Hive USD","0.482581","0.008037","216251000.000","448113000.000"
"GLMR-USD","Moonbeam USD","0.494088","0.017591","212418000.000","429919000.000"
"IOST-USD","IOST USD","0.011299","0.000248","210030000.00","18589000000.000"
"XYM-USD","Symbol USD","0.037757","-0.000083","210775000.000","5582000000.000"
"AMP-USD","Amp USD","0.004940","0.000158","208598000.000","42228000000.000"
"ICX-USD","ICON USD","0.225290","0.006139","207150000.00","919483000.000"
"AUDIO-USD","Audius USD","0.220848","0.020566","203953000.000","923501000.000"
"FLUX-USD","Flux USD","0.721613","0.030334","202434000.000","280529000.000"
"INJ-USD","Injective USD","2.7490","0.2235","200692000.000","73006000.000"
"SRM-USD","Serum USD","0.756454","0.012684","199132000.000","263245000.000"
"ONT-USD","Ontology USD","0.226996","0.010543","198678000.000","875250000.00"
"BORA-USD","BORA USD","0.213669","-0.001674","198178000.000","927500000.0"
"STORJ-USD","Storj USD","0.479797","0.036619","198126000.000","412937000.000"
"BTRST-USD","Braintrust USD","1.5622","0.0022","194542000.000","124529000.000"
"RBN-USD","Ribbon Finance USD","0.338203","-0.016501","193456000.000","572012000.000"
"RNDR-USD","Render Token USD","0.760492","0.003279","193012000.000","253799000.000"
"BRISE-USD","Bitgert USD","0.00000048","0.00000000","190596000.000","395688000000000.000"
"LUSD-USD","Liquity USD USD","1.0350","0.0111","189796000.000","183377000.000"
"WAXP-USD","WAX USD","0.082148","0.002675","186179000.000","2266000000.000"
"VVS-USD","VVS Finance USD","0.00000619","0.00000010","182765000.000","29514000000000.000"
"XCH-USD","Chia USD","31.78","0.52","176260000.00","5547000.000"
"NFT9816-USD","APENFT USD","0.00000063","0.00000001","175740000.00","277081000000000.000"
"ZEN-USD","Horizen USD","13.39","0.57","174114000.000","13000000"
"SC-USD","Siacoin USD","0.003302","0.000100","172879000.000","52349000000.000"
"ASTR-USD","Astar USD","0.044691","0.005381","164769000.000","3687000000.000"
"SXP-USD","SXP USD","0.326368","0.010302","164128000.000","502891000.000"
"SKL-USD","SKALE USD","0.040725","0.005083","163456000.000","4014000000.000"
"BABYDOGE-USD","Baby Doge Coin USD","0.00000000","0.00000000","158815000.000","115113336000000000.000"
"MASK8536-USD","Mask Network USD","2.4124","0.2117","70274000.000","29131000.000"
"UMA-USD","UMA USD","2.2911","0.1218","157964000.000","68947000.000"
"SCRT-USD","Secret USD","0.922878","0.033603","150702000.000","163296000.000"
"MXC-USD","MXC USD","0.056937","-0.000362","150434000.000","2642000000.000"
"KNC-USD","Kyber Network Crystal v2 USD","0.888761","0.023977","146551000.000","164894000.000"
"DGB-USD","DigiByte USD","0.009136","0.000453","144088000.000","15771000000.000"
"PLA7461-USD","PlayDapp USD","0.291327","0.004420","142235000.000","488230000.00"
"IMX10603-USD","ImmutableX USD","0.604267","0.026048","142174000.000","235284000.000"
"SLP-USD","Smooth Love Potion USD","0.003321","0.000088","141780000.00","42694000000.000"
"VERI-USD","Veritaseum USD","62.59","10.35","134548000.000","2150000.00"
"PEOPLE-USD","ConstitutionDAO USD","0.026532","0.002292","134255000.000","5060000000.00"
"SYN12147-USD","Synapse USD","0.935093","-0.013022","130701000.000","139773000.000"
"SOLO-USD","Sologenic USD","0.321667","-0.009469","128650000.00","399948000.000"
"REN-USD","Ren USD","0.127396","0.005734","127274000.000","999038000.000"
"DESO-USD","Decentralized Social USD","14.31","0.00","127141000.000","8885000.000"
"PUNDIX-USD","Pundi X (New) USD","0.491315","0.008313","127001000.000","258492000.000"
"CVC-USD","Civic USD","0.126129","0.006892","126129000.000","1000000000"
"LSK-USD","Lisk USD","0.978281","0.021579","126101000.000","128900000.0"
"API3-USD","API3 USD","2.2161","0.2843","125317000.000","56548000.000"
"OCEAN-USD","Ocean Protocol USD","0.203148","0.032274","124550000.00","613099000.000"
"EWT-USD","Energy Web Token USD","4.1252","0.0710","124013000.000","30062000.000"
"LYXE-USD","LUKSO USD","8.0318","0.3520","122934000.000","15306000.000"
"METIS-USD","MetisDAO USD","27.97","-0.38","122874000.000","4393000.000"
"EURS-USD","STASIS EURO USD","0.968751","0.066554","120247000.000","124126000.000"
"DAO-USD","DAO Maker USD","1.3057","0.0116","120224000.000","92074000.000"
"CKB-USD","Nervos Network USD","0.003449","0.000083","115000000","33340000000.00"
"COTI-USD","COTI USD","0.102614","0.004371","113762000.000","1109000000.000"
"MED-USD","MediBloc USD","0.018098","0.000289","112618000.000","6223000000.000"
"DEXE-USD","DeXe USD","3.0806","0.0780","112340000.00","36467000.000"
"REQ-USD","Request USD","0.110931","0.002066","110912000.000","999830000.00"
"CTC-USD","Creditcoin USD","0.534499","-0.006830","110777000.000","207254000.000"
"SAFE3918-USD","Safe USD","5.2865","0.2954","110147000.000","20835000.000"
"TRIBE-USD","Tribe USD","0.242004","-0.005067","109736000.000","453449000.000"
"CELR-USD","Celer Network USD","0.015424","0.000959","109285000.000","7085000000.000"
"CEEK-USD","CEEK VR USD","0.135344","0.000037","109049000.000","805718000.000"
"ERG-USD","Ergo USD","1.8376","-0.0534","107755000.000","58638000.000"
"KEEP-USD","Keep Network USD","0.124724","0.003547","107357000.000","860762000.000"
"FXS-USD","Frax Share USD","6.5934","0.1922","106875000.000","16209000.000"
"REEF-USD","Reef USD","0.005217","0.000160","106644000.000","20440000000.00"
"PYR-USD","Vulcan Forged PYR USD","4.4624","0.1334","106642000.000","23898000.000"
"DYDX-USD","dYdX USD","1.6222","0.1085","106367000.000","65569000.000"
"SSV-USD","ssv.network USD","10.63","0.51","106335000.000","10000000"
"MDX8335-USD","Mdex USD","0.123802","0.004204","115003000.000","928925000.000"
"BTCST-USD","Bitcoin Standard Hashrate Token USD","8.6566","0.1959","105622000.000","12201000.000"
"MBX18895-USD","MARBLEX USD","2.9095","0.0078","105010000.00","36092000.000"
"MX-USD","MX TOKEN USD","1.0499","0.0627","104994000.000","100000000"
"ONG3217-USD","Ontology Gas USD","0.323008","0.004481","104359000.000","323084000.000"
"VGX-USD","Voyager Token USD","0.374557","-0.000050","104307000.000","278482000.000"
"VUSDC-USD","Venus USDC USD","0.021699","0.000010","103525000.000","4771000000.000"
"WIN-USD","WINkLink USD","0.000106","0.000003","101724000.000","961737000000.000"
"RLC-USD","iExec RLC USD","1.1645","0.1187","101310000.00","87000000"
"HUM-USD","Humanscape USD","0.116279","0.001662","101327000.000","871410000.00"
"SYS-USD","Syscoin USD","0.151731","0.001996","101324000.000","667787000.000"
"NKN-USD","NKN USD","0.146353","0.058448","102447000.000","700000000"
"NU-USD","NuCypher USD","0.143209","0.002089","100676000.000","703000000"
"MVL-USD","MVL USD","0.004510","0.000111","99691000.000","22103000000.000"
"TEL-USD","Telcoin USD","0.001579","0.000079","99417000.000","62969000000.000"
"XNO-USD","Nano USD","0.741046","0.015956","98743000.000","133248000.000"
"POWR-USD","Powerledger USD","0.203327","0.005246","98683000.000","485339000.000"
"USDX6651-USD","USDX [Kava] USD","0.883723","0.018419","98595000.000","111567000.000"
"SNT-USD","Status USD","0.028359","0.000549","98421000.000","3470000000.00"
"LOOKS-USD","LooksRare USD","0.208907","0.004603","98090000.00","469539000.000"
"BICO-USD","Biconomy USD","0.440639","0.049761","97361000.000","220954000.000"
"ZEON-USD","ZEON USD","0.003124","-0.000397","95383000.000","30529000000.000"
"ARDR-USD","Ardor USD","0.095229","0.001632","95134000.000","998999000.000"
"FX-USD","Function X USD","0.232500","0.006523","94981000.000","408520000.00"
"ILV-USD","Illuvium USD","66.47","0.23","100364000.000","1510000.00"
"BNT-USD","Bancor USD","0.473011","0.012214","94062000.000","198858000.000"
"ORBS-USD","Orbs USD","0.032596","0.000451","93771000.000","2877000000.000"
"PROM-USD","Prom USD","5.6310","0.1949","92629000.000","16450000.00"
"STEEM-USD","Steem USD","0.233045","0.004576","92041000.000","394952000.000"
"CTSI-USD","Cartesi USD","0.142303","0.010036","91880000.00","645668000.000"
"XPRT-USD","Persistence USD","0.696228","0.051231","91587000.000","131548000.000"
"UOS-USD","Ultra USD","0.300268","-0.003388","91219000.000","303794000.000"
"DENT-USD","Dent USD","0.000919","0.000075","90956000.000","99008000000.000"
"SPELL-USD","Spell Token USD","0.000866","0.000032","90671000.000","104668000000.000"
"RKN-USD","Rakon USD","0.371309","0.048546","90175000.000","242857000.000"
"CFG-USD","Centrifuge USD","0.259859","-0.022846","90071000.000","346614000.000"
"BAND-USD","Band Protocol USD","2.5726","1.4406","90533000.000","35192000.000"
"RACA-USD","RadioCaca USD","0.000268","0.000003","88481000.000","329574000000.000"
"EVER-USD","Everscale USD","0.052395","-0.000509","88311000.000","1685000000.000"
"NMR-USD","Numeraire USD","14.99","0.40","88292000.000","5889000.000"
"ANY-USD","Anyswap USD","4.7305","0.2013","88172000.000","18639000.000"
"WEVER-USD","Wrapped Everscale USD","0.052168","-0.000417","87928000.000","1685000000.000"
"CHR-USD","Chromia USD","0.154406","0.009570","87605000.000","567369000.000"
"AVINOC-USD","AVINOC USD","0.225029","0.000377","87591000.000","389244000.000"
"OGN-USD","Origin Protocol USD","0.172485","0.034237","87525000.000","507433000.000"
"VLX-USD","Velas USD","0.036778","-0.001441","87217000.000","2371000000.000"
"ACA-USD","Acala Token USD","0.163219","0.004642","86389000.000","529283000.000"
"GAL11877-USD","Galxe USD","2.4104","0.3724","84753000.000","35161000.000"
"TRAC-USD","OriginTrail USD","0.229313","0.006435","83810000.00","365482000.000"
"WVLX-USD","Wrapped Velas USD","0.036763","-0.000773","83790000.00","2279000000.000"
"CFX-USD","Conflux USD","0.040072","0.001067","83780000.00","2091000000.000"
"DAG-USD","Constellation USD","0.065981","0.002248","83592000.000","1267000000.000"
"FUN-USD","FUNToken USD","0.007532","0.000032","82569000.000","10963000000.000"
"UQC-USD","Uquid Coin USD","8.1986","-0.3845","81986000.000","10000000"
"ANT-USD","Aragon USD","1.9464","0.1253","81669000.000","41958000.000"
"MNW-USD","Morpheus.Network USD","1.7060","0.0975","80489000.000","47180000.00"
"ARRR-USD","Pirate Chain USD","0.410852","-0.009496","79896000.000","194464000.000"
"WRX-USD","WazirX USD","0.206370","0.001879","78804000.000","381857000.000"
"RSS3-USD","RSS3 USD","0.232049","0.088845","78948000.000","340222000.000"
"STRAX-USD","Stratis USD","0.550748","0.001917","78570000.00","142661000.000"
"EUROC-USD","Euro Coin USD","0.977333","-0.008895","78313000.000","80129000.000"
"RAD-USD","Radicle USD","2.2121","0.2193","77881000.000","35207000.000"
"REP-USD","Augur USD","6.9206","0.0900","76127000.000","11000000"
"XYO-USD","XYO USD","0.005921","0.000075","76058000.000","12845000000.000"
"HUSD-USD","HUSD USD","0.339977","0.016051","75677000.000","222594000.000"
"MAGIC14783-USD","MAGIC USD","0.413564","0.010433","73276000.000","177182000.000"
"QUACK-USD","RichQUACK.com USD","0.00000000","0.00000000","73146000.000","44085962000000000.000"
"UTK-USD","Utrust USD","0.149115","0.005427","73066000.000","490000000"
"JOE-USD","JOE USD","0.224085","0.009516","72988000.000","325718000.000"
"CTK4807-USD","Shentu USD","0.835972","0.042426","72796000.000","87079000.000"
"RENBTC-USD","renBTC USD","20232.93","-22.48","72428000.000","3579"
"ORC-USD","Orbit Chain USD","0.115698","0.003651","72082000.000","623015000.000"
"QKC-USD","QuarkChain USD","0.011235","0.000287","71904000.000","6400000000.0"
"BFC7817-USD","Bifrost USD","0.066941","0.003441","71654000.000","1070000000.00"
"RAY-USD","Raydium USD","0.496954","0.005268","71657000.000","144193000.000"
"BSW-USD","Biswap USD","0.260010","0.006318","71133000.000","273579000.000"
"C98-USD","Coin98 USD","0.327875","0.025733","71131000.000","216944000.000"
"STPT-USD","STP USD","0.042112","0.000833","69429000.000","1649000000.000"
"OXT-USD","Orchid USD","0.100217","0.009233","69219000.000","690690000.00"
"STMX-USD","StormX USD","0.006886","0.000182","68859000.000","10000000000"
"MTL-USD","Metal DAO USD","1.0315","0.0612","68687000.000","66589000.000"
"ELF-USD","aelf USD","0.131036","0.002258","68361000.000","521698000.000"
"ASD-USD","ASD USD","0.103081","0.000160","68097000.000","660615000.000"
"SFUND-USD","Seedify.fund USD","1.6581","0.0928","67391000.000","40643000.000"
"SURE-USD","inSure DeFi USD","0.002506","0.000049","67144000.000","26790000000.00"
"STG18934-USD","Stargate Finance USD","0.483249","0.010278","66699000.000","138022000.000"
"H2O19091-USD","H2O DAO USD","0.296648","0.000814","66517000.000","224229000.000"
"SUSD-USD","sUSD USD","1.0096","0.0036","65929000.000","65302000.000"
"PHA-USD","Phala Network USD","0.161021","0.001326","65898000.000","409250000.00"
"RBTC-USD","RSK Smart Bitcoin USD","20255.88","36.18","65744000.000","3245"
"FET-USD","Fetch.ai USD","0.087480","0.007456","65270000.00","746114000.000"
"LOOM-USD","Loom Network USD","0.050129","0.001798","65167000.000","1300000000.0"
"REV2135-USD","Revain USD","0.000764","-0.000001","65022000.000","85061000000.000"
"AURORA14803-USD","Aurora USD","0.710324","-0.015939","65019000.000","91535000.000"
"FORTH-USD","Ampleforth Governance Token USD","4.1241","0.1296","63090000.00","15298000.000"
"XVS-USD","Venus USD","5.1431","0.2518","62595000.000","12171000.000"
"GOG-USD","Guild of Guardians USD","0.199508","-0.005128","61847000.000","310000000"
"LOCUS-USD","Locus Chain USD","0.070101","-0.001131","61676000.000","879808000.000"
"ALPHA-USD","Alpha Venture DAO USD","0.137957","0.026076","61574000.000","446330000.00"
"MPL-USD","Maple USD","13.93","0.22","61531000.000","4418000.000"
"MOB-USD","MobileCoin USD","0.828881","0.024680","61518000.000","74218000.000"
"MOVR-USD","Moonriver USD","10.83","0.43","61391000.000","5669000.000"
"VTHO-USD","VeThor Token USD","0.001335","0.000038","60917000.000","45630000000.00"
"XSGD-USD","XSGD USD","0.710421","0.010204","62839000.000","88454000.000"
"CBG-USD","Chainbing USD","1.8124","-0.1466","59808000.000","33000000"
"ACH-USD","Alchemy Pay USD","0.011729","0.000393","59608000.000","5082000000.000"
"DERO-USD","Dero USD","4.5705","0.0335","59401000.000","12996000.000"
"MAID-USD","MaidSafeCoin USD","0.130721","-0.004041","59158000.000","452552000.000"
"DUSK-USD","Dusk Network USD","0.142714","0.017496","58993000.000","413364000.000"
"LQTY-USD","Liquity USD","0.711751","0.004621","58803000.000","82618000.000"
"VBUSD-USD","Venus BUSD USD","0.021717","0.000002","58521000.000","2695000000.000"
"TLM-USD","Alien Worlds USD","0.022280","0.001712","58185000.000","2611000000.000"
"EFI-USD","Efinity Token USD","0.111904","-0.000376","58067000.000","518903000.000"
"SUN-USD","Sun (New) USD","0.006484","0.000216","57539000.000","8874000000.000"
"AERGO-USD","Aergo USD","0.140585","0.002929","57429000.000","408500000.0"
"CORE-USD","cVault.finance USD","5712.10","152.38","57121000.000","10000"
"TRR-USD","Terran Coin USD","2.3962","-0.4510","56679000.000","23653000.000"
"AGIX-USD","SingularityNET USD","0.050320","0.001715","56416000.000","1121000000.000"
"ADS-USD","Adshares USD","1.7004","0.0175","56267000.000","33090000.00"
"XCAD-USD","XCAD Network USD","1.6911","0.0486","56245000.000","33260000.00"
"BLOK-USD","Bloktopia USD","0.003157","0.000043","55363000.000","17537000000.000"
"BETA-USD","Beta Finance USD","0.089730","0.008207","55334000.000","616667000.000"
"VAI-USD","Vai USD","0.961836","0.000914","55304000.000","57499000.000"
"RLY-USD","Rally USD","0.015644","0.000704","55162000.000","3526000000.000"
"SUPER8290-USD","SuperFarm USD","0.132944","0.004905","53687000.000","403830000.00"
"UFO10729-USD","UFO Gaming USD","0.00000211","-0.00000003","54461000.000","25758000000000.000"
